year,bloc,treatment,plot,variety,time,obs
2019,1,Full Dose,1,Rooster,7/26/2019,0
2019,1,Full Dose,2,Sarpo Mira,7/26/2019,0
2019,1,Full Dose,3,T5821/11,7/26/2019,0
2019,1,Full Dose,4,Setanta,7/26/2019,0
2019,1,Full Dose,5,British Queen,7/26/2019,0
2019,1,Full Dose,6,King Edward,7/26/2019,0
2019,1,Blight Man. (DK),12,British Queen,7/26/2019,0
2019,2,Blight Man. (DK),72,British Queen,7/26/2019,0
2019,3,Blight Man. (DK),106,British Queen,7/26/2019,0
2019,4,Blight Man. (DK),164,British Queen,7/26/2019,0
2019,1,Blight Man. (DK),9,King Edward,7/26/2019,0
2019,2,Blight Man. (DK),71,King Edward,7/26/2019,0
2019,1,Half Dose,16,British Queen,7/26/2019,0
2019,2,Half Dose,53,British Queen,7/26/2019,0
2019,3,Half Dose,117,British Queen,7/26/2019,0
2019,4,Half Dose,136,British Queen,7/26/2019,0
2019,1,Half Dose,17,King Edward,7/26/2019,0
2019,2,Half Dose,50,King Edward,7/26/2019,0
2019,1,Modified I. R.,22,British Queen,7/26/2019,0
2019,1,Modified I. R.,22,British Queen,8/2/2019,0.001
2019,1,Modified I. R.,22,British Queen,8/9/2019,0.01
2019,1,Modified I. R.,22,British Queen,8/16/2019,0.5
2019,1,Modified I. R.,22,British Queen,8/23/2019,0.001
2019,1,Modified I. R.,22,British Queen,8/29/2019,1
2019,1,Irish Rules,25,King Edward,7/26/2019,0.1
2019,1,Irish Rules,26,Rooster,7/26/2019,0
2019,1,Irish Rules,27,British Queen,7/26/2019,0.1
2019,1,Irish Rules,28,Setanta,7/26/2019,0
2019,1,Irish Rules,29,T5821/11,7/26/2019,0
2019,1,Irish Rules,30,Sarpo Mira,7/26/2019,0
2019,1,Control,37,Rooster,7/26/2019,0
2019,1,Control,38,British Queen,7/26/2019,0
2019,1,Control,39,Setanta,7/26/2019,0
2019,1,Control,40,King Edward,7/26/2019,0
