D13,X__1,X__2,Pi4B,X__3,X__4,PiG11,X__5,X__6,Pi04,X__7,X__8,Pi63,X__9,X__10,Pi70,X__11,X__12,SSR2,X__13,X__14,SSR3,X__15,X__16,SSR4,X__17,X__18,SSR6,X__19,X__20,SSR8,X__21,X__22,SSR11,X__23,X__24
0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
118,138,0,205,213,0,164,164,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
122,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,296,242,244,0,260,266,0,331,341,0
118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,294,298,242,244,0,260,266,0,331,341,0
136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,262,268,0,288,292,294,242,244,0,260,266,0,331,341,0
136,154,0,205,213,0,154,160,166,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
136,156,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
118,136,0,205,217,221,162,162,0,166,170,0,273,279,0,192,192,0,173,175,0,262,268,0,288,294,0,242,244,0,260,266,0,331,341,0
136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,296,240,244,0,260,266,0,341,341,0
118,136,0,205,217,0,166,166,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,294,0,242,244,0,260,266,0,331,341,0
118,136,0,205,217,0,166,166,0,166,170,0,273,279,0,192,192,0,173,175,0,268,268,0,288,294,0,242,244,0,260,266,0,331,341,0
118,136,0,205,213,0,166,166,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,292,294,240,244,0,260,266,0,341,341,0
0,0,0,213,217,0,160,160,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,294,244,244,0,260,266,0,341,355,0
136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,292,294,240,244,0,260,266,0,341,341,0
118,136,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,175,175,0,266,268,0,288,294,298,242,244,0,260,266,0,331,341,0
118,136,0,205,213,0,164,164,0,166,170,0,279,279,0,192,192,0,173,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
136,154,0,205,213,0,154,166,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,266,0,341,341,0
118,142,0,205,217,0,162,162,0,166,170,0,273,279,0,192,192,0,173,175,0,262,268,0,288,294,298,242,244,0,260,266,0,331,341,0
136,172,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,292,294,240,244,0,260,266,0,341,341,0
136,154,0,205,213,0,154,160,164,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,0,240,244,0,260,264,266,341,341,0
0,0,0,213,217,0,162,162,0,166,170,0,273,279,0,192,195,0,173,175,0,258,266,268,284,292,296,244,244,0,260,266,0,341,355,0
136,148,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,294,296,240,244,0,260,266,0,341,341,0
118,142,0,205,217,0,166,166,0,166,170,0,273,279,0,192,192,0,175,175,0,268,268,0,288,292,294,242,244,0,260,266,0,331,341,0
136,152,0,205,213,217,150,154,160,166,170,0,270,279,0,192,195,0,173,175,0,268,268,0,288,294,0,240,244,0,260,266,0,341,341,0
136,154,0,205,213,0,154,160,0,166,170,0,273,279,0,192,192,0,173,173,0,266,268,0,284,292,296,240,244,0,260,266,0,341,341,0
