effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),-1.529163441234924,0.1379850792869252,-11.082092709858813,1.5324814397443482e-28,-1.7996092270412012,-1.2587176554286468
fixed,block2,-0.1568810146431459,0.1769260956058019,-0.8867036493739331,0.3752384730635529,-0.5036497899558079,0.18988776066951601
fixed,block3,-0.1420703150978086,0.17038236966227985,-0.8338322525940363,0.40437551787994375,-0.47601362323646695,0.19187299304084976
fixed,block4,0.11809537192348118,0.16710637865273728,0.7067077443458603,0.4797481159136179,-0.20942711182279672,0.4456178556697591
fixed,treatmentFull Dose,-4.4825033450596,0.3477694624765385,-12.889295434793969,5.171410013602582e-38,-5.164118966436469,-3.800887723682731
fixed,treatmentHalf Dose,-3.162043849794517,0.21883951386294556,-14.449144918932861,2.538173172807727e-47,-3.590961415360144,-2.73312628422889
fixed,treatmentIrish Rules,-0.8913063077333231,0.13511806446085872,-6.596499966823596,4.209775971910429e-11,-1.1561328477373676,-0.6264797677292786
fixed,varietySE,-2.415048832995978,0.13752118547748338,-17.56128573652675,4.875819622504033e-69,-2.6845854036430983,-2.145512262348858
fixed,varietyCL,-4.76730715350025,0.3635617640744956,-13.112784744116835,2.781927776648918e-39,-5.479875117242109,-4.05473918975839
fixed,varietySM,-6.795417321597698,0.5505736159234852,-12.342431829392416,5.351474047311436e-35,-7.874521779645717,-5.716312863549679
fixed,treatmentFull Dose:varietySE,0.4184596239063965,0.6078594769012392,0.6884150692848126,0.49119143691108247,-0.7729230584813891,1.609842306294182
fixed,treatmentHalf Dose:varietySE,-2.0042135431569332,0.6658343005981534,-3.010078545602779,0.002611801382716721,-3.30922479200073,-0.6992022943131366
fixed,treatmentIrish Rules:varietySE,0.7396236194213769,0.20547235411680653,3.5996259574702543,3.186752433300569e-4,0.33690520553377584,1.142342033308978
fixed,treatmentFull Dose:varietyCL,1.740126691285787,0.7046500822783898,2.469490510324394,0.013530560728612882,0.3590379083169575,3.1212154742546163
fixed,treatmentHalf Dose:varietyCL,0.028273840342303198,0.658818578167623,0.04291597304517647,0.9657685158325383,-1.2629868452121238,1.3195345258967304
fixed,treatmentIrish Rules:varietyCL,0.02158514690924125,0.5729556254327103,0.03767333097207941,0.9699481396981651,-1.1013872436784922,1.1445575374969745
fixed,treatmentFull Dose:varietySM,3.537356594229983,0.7788829808055991,4.541576438826912,5.583513395757492e-6,2.0107740036798067,5.063939184780159
fixed,treatmentHalf Dose:varietySM,2.056408751935666,0.7251808407282938,2.835718535903996,0.004572272177057019,0.6350804218297332,3.4777370820415987
fixed,treatmentIrish Rules:varietySM,0.03949850274046657,0.7050469007328736,0.056022518075619004,0.9553238684991443,-1.342368030107552,1.4213650355884853
