Year,Sampling Date,No. of Samples,8A1 (%),13A2 (%),6A1 (%),13A2+6A1 (%)
2017,2017-07-03,12,100,0,0,0
2017,2017-07-14,5,100,0,0,0
2017,2017-07-20,3,100,0,0,0
2017,2017-07-31,38,84.2,0,15.8,15.8
2017,2017-08-10,154,66.9,1.9,31.2,33.1
2017,2017-08-23,138,54.3,0,45.7,45.7
2017,2017-09-13,125,12.8,13.6,73.6,87.19999999999999
2018,2018-08-20,3,100,0,0,0
2018,2018-08-28,7,100,0,0,0
2018,2018-09-05,31,96.8,0,3.2,3.2
2018,2018-09-24,165,88.5,1.2,10.3,11.5
2019,2019-08-14,250,80.8,10.4,8.8,19.200000000000003
2019,2019-08-27,198,19.2,44.9,35.9,80.8
