Year,Prog.,KE,BQ,RO,SE,CL,SM
2016,0,16,0,0,16,8,6
2016,100,9,0,0,10,7,5
2016,50,16,0,0,8,6,1
2016,IR,16,0,0,16,9,9
2017,0,76,18,23,33,14,0
2017,100,36,2,1,5,1,0
2017,50,53,0,5,1,0,2
2017,IR,65,12,19,15,3,0
2017,BM,57,0,2,0,0,0
2017,MIR,51,3,6,0,0,0
2018,0,31,8,19,10,2,0
2018,100,10,0,1,2,3,0
2018,50,13,0,4,0,0,0
2018,IR,36,10,7,7,0,0
2018,BM,24,1,4,0,0,0
2018,MIR,9,3,2,0,0,0
2019,0,54,12,17,19,9,1
2019,100,26,4,6,6,1,0
2019,50,33,10,5,6,0,0
2019,IR,52,15,13,7,2,0
2019,BM,46,7,9,8,2,1
2019,MIR,44,12,13,5,3,0
